Make,Model,Year,MSRP,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque
Audi,RS 5,2024,79900.0,Midsize,Hatchback,V6,Twin-Turbo,AWD,automatic,444.0,442.0
Audi,RS 6,2024,125800.0,Large,Wagon,V8,Twin-Turbo,AWD,automatic,621.0,627.0
Audi,RS 7,2024,127800.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,621.0,627.0
Audi,RS Q8,2024,125800.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,591.0,590.0
Audi,RS e-tron GT,2024,147100.0,Large,Sedan,,Electric Motor,AWD,automatic,637.0,612.0
Audi,S3,2024,47400.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,306.0,295.0
Audi,S3,2024,50300.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,306.0,295.0
Audi,S3,2024,54300.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,306.0,295.0
Audi,S4,2024,54500.0,Midsize,Sedan,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S4,2024,57500.0,Midsize,Sedan,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S4,2024,61800.0,Midsize,Sedan,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,66100.0,Midsize,Convertible,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,57500.0,Midsize,Coupe,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,57500.0,Midsize,Hatchback,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,69100.0,Midsize,Convertible,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,60500.0,Midsize,Coupe,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,60500.0,Midsize,Hatchback,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,73200.0,Midsize,Convertible,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,64600.0,Midsize,Coupe,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S5,2024,64900.0,Midsize,Hatchback,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,S6,2024,75500.0,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0
