Make,Model,Year,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque,MSRP,common_range,mid_high_range,luxury_range,extreme_range
Audi,A7,2024,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0,76750.0,1,0,0,0
Audi,A8,2023,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0,87800.0,1,0,0,0
Audi,A8,2024,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0,90900.0,1,0,0,0
Audi,Q3,2023,Compact,SUV,I4,Turbocharged,AWD,automatic,184.0,221.0,38450.0,1,0,0,0
Audi,Q3,2023,Compact,SUV,I4,Turbocharged,AWD,automatic,228.0,251.0,40850.0,1,0,0,0
Audi,Q3,2024,Compact,SUV,I4,Turbocharged,AWD,automatic,184.0,221.0,38800.0,1,0,0,0
Audi,Q3,2024,Compact,SUV,I4,Turbocharged,AWD,automatic,228.0,251.0,41200.0,1,0,0,0
Audi,Q4 Sportback e-tron,2023,Midsize,SUV,V6,Electric Motor,AWD,automatic,295.0,339.0,64400.0,1,0,0,0
Audi,Q4 Sportback e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,295.0,339.0,62900.0,1,0,0,0
Audi,Q4 Sportback e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,335.0,357.44,62900.0,1,0,0,0
Audi,Q4 Sportback e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,335.0,366.14,58200.0,1,0,0,0
Audi,Q4 Sportback e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,335.0,369.29,65200.0,1,0,0,0
Audi,Q4 e-tron,2023,Midsize,SUV,I4,Electric Motor,RWD,automatic,201.0,229.0,52900.0,1,0,0,0
Audi,Q4 e-tron,2023,Midsize,SUV,V6,Electric Motor,AWD,automatic,295.0,339.0,61400.0,1,0,0,0
Audi,Q4 e-tron,2024,Midsize,SUV,I4,Electric Motor,RWD,automatic,201.0,229.0,52150.0,1,0,0,0
Audi,Q4 e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,295.0,339.0,59900.0,1,0,0,0
Audi,Q4 e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,335.0,357.55,62200.0,1,0,0,0
Audi,Q4 e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,335.0,366.14,59900.0,1,0,0,0
Audi,Q4 e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,335.0,366.6,55200.0,1,0,0,0
Audi,Q5,2023,Midsize,SUV,I4,Turbocharged,AWD,automatic,201.0,236.0,49400.0,1,0,0,0
Audi,Q5,2023,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0,51900.0,1,0,0,0
Audi,Q5,2023,Midsize,SUV,I4,Turbocharged,AWD,automatic,362.0,369.0,61700.0,1,0,0,0
Audi,Q5,2024,Midsize,SUV,I4,Turbocharged,AWD,automatic,201.0,236.0,50100.0,1,0,0,0
Audi,Q5,2024,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0,53000.0,1,0,0,0
Audi,Q5,2024,Midsize,SUV,I4,Turbocharged,AWD,automatic,362.0,369.0,62400.0,1,0,0,0
Audi,Q5 Sportback,2023,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0,54600.0,1,0,0,0
Audi,Q5 Sportback,2024,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0,55400.0,1,0,0,0
Audi,Q7,2023,Large,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0,61250.0,1,0,0,0
